ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1774972800000,2026-03-31T16:00:00Z,candles,BTC-USDT-SWAP,1m,66705,66784.6,66696.2,66779.9,9919.47,99.1947,6620759.8192
1774972860000,2026-03-31T16:01:00Z,candles,BTC-USDT-SWAP,1m,66779.9,66861.3,66779.9,66854.6,8667.13,86.6713,5792692.08539
1774972920000,2026-03-31T16:02:00Z,candles,BTC-USDT-SWAP,1m,66854.7,66918,66841.5,66865.9,6793.63,67.9363,4543904.37718
1774972980000,2026-03-31T16:03:00Z,candles,BTC-USDT-SWAP,1m,66865.9,66880,66805.3,66828.2,3222.04,32.2204,2153665.1284
1774973040000,2026-03-31T16:04:00Z,candles,BTC-USDT-SWAP,1m,66828.2,66844.2,66784.7,66821.8,7304.9,73.049,4881359.58982
1774973100000,2026-03-31T16:05:00Z,candles,BTC-USDT-SWAP,1m,66821.9,66839.8,66798.7,66805.4,3829.77,38.2977,2559285.23241
1774973160000,2026-03-31T16:06:00Z,candles,BTC-USDT-SWAP,1m,66805.4,66914.5,66797.1,66914.4,3815.61,38.1561,2550807.51581
1774973220000,2026-03-31T16:07:00Z,candles,BTC-USDT-SWAP,1m,66914.4,66947.8,66899,66944.8,5199.86,51.9986,3480373.52958
1774973280000,2026-03-31T16:08:00Z,candles,BTC-USDT-SWAP,1m,66944.7,66971.4,66935.9,66945,8844.48,88.4448,5921581.23873
1774973340000,2026-03-31T16:09:00Z,candles,BTC-USDT-SWAP,1m,66945.1,66949.9,66913.1,66940.1,5440.41,54.4041,3641188.26161
1774973400000,2026-03-31T16:10:00Z,candles,BTC-USDT-SWAP,1m,66940,66940.1,66881.7,66905.5,3501.4,35.014,2342550.81965
1774973460000,2026-03-31T16:11:00Z,candles,BTC-USDT-SWAP,1m,66905.4,66905.5,66813.3,66854.4,4364.68,43.6468,2918100.64378
1774973520000,2026-03-31T16:12:00Z,candles,BTC-USDT-SWAP,1m,66854.4,66858.4,66733,66767.2,7031.21,70.3121,4695005.46277
1774973580000,2026-03-31T16:13:00Z,candles,BTC-USDT-SWAP,1m,66767.1,66853.3,66767.1,66853.3,1656.68,16.5668,1106859.404
1774973640000,2026-03-31T16:14:00Z,candles,BTC-USDT-SWAP,1m,66853.3,66918.2,66853.3,66898.9,3143.34,31.4334,2102527.04962
1774973700000,2026-03-31T16:15:00Z,candles,BTC-USDT-SWAP,1m,66898.8,66939,66883.3,66915.1,2583.25,25.8325,1728504.41317
1774973760000,2026-03-31T16:16:00Z,candles,BTC-USDT-SWAP,1m,66915.2,67032,66915.2,66965.9,7987.16,79.8716,5350413.65043
1774973820000,2026-03-31T16:17:00Z,candles,BTC-USDT-SWAP,1m,66965.9,67003.3,66957.1,66987.2,3508.35,35.0835,2350161.30792
1774973880000,2026-03-31T16:18:00Z,candles,BTC-USDT-SWAP,1m,66987.2,67008.8,66973.2,67008.7,3610.49,36.1049,2418724.07076
1774973940000,2026-03-31T16:19:00Z,candles,BTC-USDT-SWAP,1m,67008.7,67008.8,66968.9,66973.7,3538.16,35.3816,2370177.11939
1774974000000,2026-03-31T16:20:00Z,candles,BTC-USDT-SWAP,1m,66973.6,66992,66940.5,66991.9,3484.52,34.8452,2333438.08958
1774974060000,2026-03-31T16:21:00Z,candles,BTC-USDT-SWAP,1m,66992,67000,66975,66999.9,2033.12,20.3312,1361974.04663
1774974120000,2026-03-31T16:22:00Z,candles,BTC-USDT-SWAP,1m,67000,67017.1,66957,66957.1,4238.54,42.3854,2839807.77641
1774974180000,2026-03-31T16:23:00Z,candles,BTC-USDT-SWAP,1m,66957,67013.1,66930,67009.9,2676.3,26.763,1792332.73534
1774974240000,2026-03-31T16:24:00Z,candles,BTC-USDT-SWAP,1m,67010,67166.6,67009.9,67164.9,16918.43,169.1843,11351772.47242
1774974300000,2026-03-31T16:25:00Z,candles,BTC-USDT-SWAP,1m,67165,67174.4,67101.4,67138.2,12872.67,128.7267,8642382.38971
1774974360000,2026-03-31T16:26:00Z,candles,BTC-USDT-SWAP,1m,67138.3,67145.2,67089.6,67103.1,5936.18,59.3618,3984381.05117
1774974420000,2026-03-31T16:27:00Z,candles,BTC-USDT-SWAP,1m,67103.1,67110.5,67075,67105.8,2147.31,21.4731,1440680.40869
1774974480000,2026-03-31T16:28:00Z,candles,BTC-USDT-SWAP,1m,67105.9,67132,67100,67105.7,3401.31,34.0131,2282710.6756
1774974540000,2026-03-31T16:29:00Z,candles,BTC-USDT-SWAP,1m,67105.7,67105.8,67043.1,67062.1,2878.73,28.7873,1930789.17618
1774974600000,2026-03-31T16:30:00Z,candles,BTC-USDT-SWAP,1m,67062.1,67062.2,67025,67051.4,2517.35,25.1735,1687696.43802
1774974660000,2026-03-31T16:31:00Z,candles,BTC-USDT-SWAP,1m,67051.3,67058.2,67021.3,67037.6,2224.07,22.2407,1491002.14929
1774974720000,2026-03-31T16:32:00Z,candles,BTC-USDT-SWAP,1m,67037.6,67097.7,67034.9,67073.4,2459.66,24.5966,1649816.39476
1774974780000,2026-03-31T16:33:00Z,candles,BTC-USDT-SWAP,1m,67073.4,67107.7,67073.4,67090,3075.89,30.7589,2063524.27636
1774974840000,2026-03-31T16:34:00Z,candles,BTC-USDT-SWAP,1m,67090,67104.3,66987.4,66993.4,3261.63,32.6163,2186678.85011
1774974900000,2026-03-31T16:35:00Z,candles,BTC-USDT-SWAP,1m,66993.4,66993.4,66930.2,66948.9,4582.64,45.8264,3068959.03896
1774974960000,2026-03-31T16:36:00Z,candles,BTC-USDT-SWAP,1m,66948.9,67028.9,66948.8,67003.8,2587.67,25.8767,1733428.75351
1774975020000,2026-03-31T16:37:00Z,candles,BTC-USDT-SWAP,1m,67003.8,67123,67001.9,67105,7441.52,74.4152,4992694.4254
1774975080000,2026-03-31T16:38:00Z,candles,BTC-USDT-SWAP,1m,67105,67329.1,67105,67288,38057.38,380.5738,25589122.86848
1774975140000,2026-03-31T16:39:00Z,candles,BTC-USDT-SWAP,1m,67288.1,67488,67257.6,67487.9,29125.22,291.2522,19621397.43521
1774975200000,2026-03-31T16:40:00Z,candles,BTC-USDT-SWAP,1m,67487.9,67717.7,67464.4,67649.5,77562.79,775.6279,52449919.48942
1774975260000,2026-03-31T16:41:00Z,candles,BTC-USDT-SWAP,1m,67649.5,67969.5,67616.5,67959.7,86194.81,861.9481,58483657.19618
1774975320000,2026-03-31T16:42:00Z,candles,BTC-USDT-SWAP,1m,67959.7,67993.3,67781.1,67974.5,54692.59,546.9259,37143764.95916
1774975380000,2026-03-31T16:43:00Z,candles,BTC-USDT-SWAP,1m,67974.5,67993.1,67844.8,67886.9,40211.43,402.1143,27310685.87326
1774975440000,2026-03-31T16:44:00Z,candles,BTC-USDT-SWAP,1m,67886.9,67900,67688,67747,36409.58,364.0958,24671367.67468
1774975500000,2026-03-31T16:45:00Z,candles,BTC-USDT-SWAP,1m,67747,67900,67658.1,67810.5,42955.18,429.5518,29111983.26155
1774975560000,2026-03-31T16:46:00Z,candles,BTC-USDT-SWAP,1m,67810.4,67810.4,67589.5,67615.3,30414.29,304.1429,20572316.18104
1774975620000,2026-03-31T16:47:00Z,candles,BTC-USDT-SWAP,1m,67615.2,67665.2,67520.2,67576.9,21716.47,217.1647,14673843.33213
1774975680000,2026-03-31T16:48:00Z,candles,BTC-USDT-SWAP,1m,67576.9,67583.3,67445.6,67547.1,22707.31,227.0731,15329455.15926
1774975740000,2026-03-31T16:49:00Z,candles,BTC-USDT-SWAP,1m,67547,67751.2,67534.4,67724.3,17929,179.29,12130057.92791
1774975800000,2026-03-31T16:50:00Z,candles,BTC-USDT-SWAP,1m,67724.3,67795,67602.5,67700.1,26642.04,266.4204,18040299.90968
