ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1775001600000,2026-04-01T00:00:00Z,candles,BTC-USDT-SWAP,1m,68241.1,68241.1,68175,68175,7599.94,75.9994,5183988.51397
1775001660000,2026-04-01T00:01:00Z,candles,BTC-USDT-SWAP,1m,68175,68179.3,68075.1,68127.5,13342.79,133.4279,9088482.73273
1775001720000,2026-04-01T00:02:00Z,candles,BTC-USDT-SWAP,1m,68127.5,68148.9,68107.4,68148.8,3480.53,34.8053,2371181.09215
1775001780000,2026-04-01T00:03:00Z,candles,BTC-USDT-SWAP,1m,68148.8,68196.3,68148.8,68158.9,2637.02,26.3702,1797644.82633
1775001840000,2026-04-01T00:04:00Z,candles,BTC-USDT-SWAP,1m,68158.9,68171,68150,68164.7,1962.1,19.621,1337325.80245
1775001900000,2026-04-01T00:05:00Z,candles,BTC-USDT-SWAP,1m,68164.7,68164.8,68106.1,68131.5,5318.35,53.1835,3623424.51095
1775001960000,2026-04-01T00:06:00Z,candles,BTC-USDT-SWAP,1m,68131.5,68188.2,68131.5,68188.1,3149.36,31.4936,2146569.18203
1775002020000,2026-04-01T00:07:00Z,candles,BTC-USDT-SWAP,1m,68188.1,68188.1,68149.8,68164.2,3327.49,33.2749,2268516.65851
1775002080000,2026-04-01T00:08:00Z,candles,BTC-USDT-SWAP,1m,68164.2,68182.8,68164.2,68174.5,1274.39,12.7439,868815.17998
1775002140000,2026-04-01T00:09:00Z,candles,BTC-USDT-SWAP,1m,68174.5,68174.6,68125,68125,2964.24,29.6424,2020340.99983
1775002200000,2026-04-01T00:10:00Z,candles,BTC-USDT-SWAP,1m,68125,68129.7,68064.1,68080.2,6594.1,65.941,4490000.34187
1775002260000,2026-04-01T00:11:00Z,candles,BTC-USDT-SWAP,1m,68080.3,68080.3,68018.8,68019,6821.17,68.2117,4641476.07861
1775002320000,2026-04-01T00:12:00Z,candles,BTC-USDT-SWAP,1m,68019,68059,68019,68033.8,3576.49,35.7649,2433324.22109
1775002380000,2026-04-01T00:13:00Z,candles,BTC-USDT-SWAP,1m,68033.8,68055.3,68032.2,68042.4,1853.96,18.5396,1261581.39577
